Legal_Name,Trade_Name,Tax_Registration_Number,Country_Code,Account_Creation_Date,Is_Active,Entity_ID
Delta Services Inc,Delta Services,TAX-288056,PK,2021-11-21 03:26:39,TRUE,VEND_8431
"Chi Consulting LLC Corp
   ","Chi Consulting  	",TAX-395192,IN,2023-12-16 03:26:39,FALSE,VEND_7935
Theta Manufacturing S.A.,Theta Manufacturing,TAX-721497,DE,2024-07-28 03:26:39,FALSE,CUST_2160
Tau Manufacturing Ltd,Tau Manufacturing,TAX-278240,PK,2025-12-16 03:26:39,FALSE,VEND_8885
Epsilon Logistics S.A.,Epsilon Logistics,TAX-580854,GB,2025-06-10 03:26:39,FALSE,CUST_5597
Gamma Manufacturing PVT,Gamma Manufacturing,TAX-293862,AE,2024-04-05 03:26:39,FALSE,VEND_4841
Beta Tech PK,Beta Tech,TAX-861253,FR,2022-03-02 03:26:39,TRUE,CUST_7915
Iota Manufacturing Ltd,Iota Manufacturing,TAX-849979,GB,2021-12-22 03:26:39,FALSE,CUST_7291
Iota Manufacturing Inc,Iota Manufacturing,TAX-474440,IN,2026-01-08 03:26:39,FALSE,CUST_7937
Rho Tech Pakistan,Rho Tech,TAX-181896,DE,2025-10-09 03:26:39,TRUE,CUST_2489
Alpha Logistics Pakistan,Alpha Logistics,TAX-440998,IN,2023-09-24 03:26:39,FALSE,CUST_2801
Alpha Consulting Corp,Alpha Consulting,TAX-118786,FR,2026-05-18 03:26:39,TRUE,CUST_3200
Sigma Consulting PVT,Sigma Consulting,TAX-714923,FR,2022-02-13 03:26:39,TRUE,VEND_7421
Omega Trading Inc,Omega Trading,TAX-749838,IN,2024-05-11 03:26:39,TRUE,VEND_2462
Iota Logistics Corp,Iota Logistics,TAX-400009,AE,2021-07-26 03:26:39,TRUE,VEND_1937
Sigma Services Pakistan,Sigma Services,TAX-546173,FR,2023-04-25 03:26:39,FALSE,VEND_8738
"Alpha Distribution PK
",Alpha Distribution  ,TAX-161437,IN,2023-10-03 03:26:39,FALSE,VEND_6581
Xi Logistics Corp,Xi Logistics,TAX-779094,PK,2024-11-28 03:26:39,TRUE,CUST_4638
Zeta Trading LLC,Zeta Trading,TAX-495521,US,2023-12-31 03:26:39,FALSE,CUST_3638
Rho Tech Ltd,Rho Tech,TAX-790855,US,2024-10-22 03:26:39,FALSE,VEND_5093
Nu Trading PK,Nu Trading,TAX-183057,GB,2022-11-23 03:26:39,TRUE,VEND_4015
Pi Distribution Pakistan,Pi Distribution,TAX-176421,IN,2022-06-07 03:26:39,FALSE,CUST_1170
Eta Distribution S.A.,Eta Distribution,TAX-811016,IN,2021-07-01 03:26:39,TRUE,VEND_2936
Sigma Consulting S.A.,Sigma Consulting,TAX-100754,IN,2022-10-28 03:26:39,FALSE,VEND_2843
Theta Distribution Pakistan,Theta Distribution,TAX-913274,GB,2022-07-31 03:26:39,FALSE,CUST_6372
Xi Consulting Pakistan,Xi Consulting,TAX-299742,AE,2024-06-20 03:26:39,TRUE,CUST_7776
Alpha Manufacturing Pakistan,Alpha Manufacturing,TAX-929179,AE,2023-03-21 03:26:39,TRUE,VEND_8426
Mu Tech Inc,Mu Tech,TAX-446290,US,2021-09-02 03:26:39,TRUE,VEND_9116
Gamma Trading LLC,Gamma Trading,TAX-583863,US,2022-10-08 03:26:39,TRUE,VEND_1050
Gamma Consulting Pakistan,Gamma Consulting,TAX-666836,GB,2026-02-12 03:26:39,TRUE,CUST_3806
Rho Services Ltd,Rho Services,TAX-226124,IN,2023-11-19 03:26:39,TRUE,VEND_1546
"Sigma Tech LLC	","Sigma Tech	",TAX-404771,FR,2026-01-09 03:26:39,FALSE,VEND_3932
Eta Trading Ltd,Eta Trading,TAX-897143,IN,2022-09-22 03:26:39,TRUE,CUST_3069
Pi Tech Corp,Pi Tech,TAX-578975,DE,2025-08-03 03:26:39,FALSE,CUST_4643
Delta Tech PK,Delta Tech,TAX-666479,FR,2024-10-24 03:26:39,TRUE,CUST_7204
Alpha Services Pakistan,Alpha Services,TAX-739717,PK,2022-10-08 03:26:39,TRUE,CUST_2964
"Iota Logistics PK	","Iota Logistics	",TAX-182860,DE,2025-04-05 03:26:39,TRUE,CUST_4871
Iota Consulting Pakistan,Iota Consulting,TAX-911801,FR,2024-03-02 03:26:39,TRUE,VEND_9940
Beta Distribution Ltd,Beta Distribution,TAX-287316,IN,2026-03-23 03:26:39,TRUE,CUST_1301
Pi Trading Ltd,Pi Trading,TAX-802695,US,2026-02-05 03:26:39,FALSE,CUST_8772
Iota Consulting S.A.,Iota Consulting,TAX-588640,US,2021-11-24 03:26:39,FALSE,VEND_4290
Rho Manufacturing Ltd,Rho Manufacturing,TAX-988102,DE,2022-07-22 03:26:39,FALSE,CUST_5089
Upsilon Trading Pakistan,Upsilon Trading,TAX-853258,AE,2022-04-14 03:26:39,FALSE,VEND_5498
Kappa Logistics Ltd,Kappa Logistics,TAX-387636,US,2026-02-04 03:26:39,FALSE,VEND_7291
"Psi Distribution S.A.	","Psi Distribution	",TAX-938754,GB,2022-10-06 03:26:39,TRUE,VEND_8617
Epsilon Services PVT,Epsilon Services,TAX-140666,GB,2024-07-17 03:26:39,TRUE,VEND_8317
Xi Logistics PVT,Xi Logistics,TAX-626392,AE,2025-01-29 03:26:39,FALSE,CUST_5494
"Omega Logistics LLC
",Omega Logistics  ,TAX-622332,FR,2026-04-02 03:26:39,TRUE,CUST_2631
Epsilon Distribution LLC,Epsilon Distribution,TAX-574001,PK,2022-05-27 03:26:39,FALSE,CUST_7060
Alpha Trading PK,Alpha Trading,TAX-321494,IN,2025-08-18 03:26:39,FALSE,CUST_6105
Pi Trading Inc,Pi Trading,TAX-139673,FR,2024-03-18 03:26:39,FALSE,VEND_1307
Zeta Trading Corp,Zeta Trading,TAX-232315,US,2024-01-10 03:26:39,TRUE,CUST_1085
Kappa Logistics PVT,Kappa Logistics,TAX-152062,PK,2021-08-12 03:26:39,TRUE,CUST_8992
Tau Logistics Ltd,Tau Logistics,TAX-483561,AE,2025-04-18 03:26:39,FALSE,VEND_8035
Mu Tech LLC,Mu Tech,TAX-559450,FR,2022-06-30 03:26:39,FALSE,VEND_8194
Sigma Services Ltd,Sigma Services,TAX-198867,US,2023-10-27 03:26:39,FALSE,CUST_5521
Upsilon Services Inc,Upsilon Services,TAX-912510,FR,2022-10-05 03:26:39,FALSE,CUST_3275
Psi Services PVT,Psi Services,TAX-217984,GB,2025-07-24 03:26:39,TRUE,VEND_5043
Theta Tech Pakistan,Theta Tech,TAX-262656,AE,2025-05-05 03:26:39,TRUE,VEND_2816
Beta Services Ltd,Beta Services,TAX-168804,AE,2022-06-03 03:26:39,FALSE,CUST_2679
Alpha Manufacturing Inc,Alpha Manufacturing,TAX-972089,US,2026-05-02 03:26:39,FALSE,VEND_9972
Xi Manufacturing PVT   ,"Xi Manufacturing	",TAX-186431,FR,2023-05-24 03:26:39,TRUE,CUST_2011
Sigma Tech S.A.,Sigma Tech,TAX-633025,IN,2025-05-29 03:26:39,TRUE,CUST_3527
Alpha Tech PK,Alpha Tech,TAX-319553,IN,2022-01-23 03:26:39,TRUE,VEND_2481
Zeta Services Pakistan,Zeta Services,TAX-948095,DE,2025-02-28 03:26:39,TRUE,VEND_3759
Upsilon Trading PK,Upsilon Trading,TAX-744333,DE,2025-12-04 03:26:39,TRUE,CUST_8951
"Beta Consulting Inc	","Beta Consulting	",TAX-434827,DE,2023-03-27 03:26:39,TRUE,CUST_7266
"Nu Manufacturing S.A.	","Nu Manufacturing	",TAX-651231,GB,2022-02-01 03:26:39,FALSE,VEND_9177
Beta Manufacturing PK,Beta Manufacturing,TAX-313910,IN,2023-05-14 03:26:39,TRUE,VEND_6713
Omega Distribution PK,Omega Distribution,TAX-580292,FR,2026-03-24 03:26:39,TRUE,VEND_7089
Psi Distribution PK,Psi Distribution,TAX-893041,IN,2021-11-28 03:26:39,FALSE,VEND_5563
Sigma Services Inc,Sigma Services,TAX-288066,IN,2024-08-20 03:26:39,TRUE,VEND_1011
Nu Trading Pakistan,Nu Trading,TAX-639995,DE,2025-10-21 03:26:39,FALSE,CUST_5560
Kappa Services PVT,Kappa Services,TAX-774751,IN,2024-07-23 03:26:39,TRUE,CUST_3641
Kappa Manufacturing S.A.,Kappa Manufacturing,TAX-230208,FR,2022-09-01 03:26:39,FALSE,CUST_5303
Sigma Logistics PK,Sigma Logistics,TAX-912609,AE,2022-06-15 03:26:39,FALSE,VEND_2703
Lambda Consulting PVT,Lambda Consulting,TAX-536754,IN,2025-09-22 03:26:39,TRUE,CUST_1916
Tau Trading LLC,Tau Trading,TAX-858729,AE,2021-12-15 03:26:39,FALSE,CUST_7550
Gamma Tech LLC,Gamma Tech,TAX-468512,GB,2023-10-25 03:26:39,TRUE,VEND_1495
"Rho Services PVT
","Rho Services	",TAX-269930,IN,2025-04-13 03:26:39,TRUE,VEND_1797
"Gamma Manufacturing S.A.	","Gamma Manufacturing	",TAX-138780,AE,2025-04-09 03:26:39,TRUE,VEND_3736
Omega Consulting Corp,Omega Consulting,TAX-682316,GB,2021-08-07 03:26:39,FALSE,CUST_5312
Tau Tech S.A.,Tau Tech,TAX-106182,AE,2024-09-22 03:26:39,FALSE,CUST_3993
Omega Logistics Corp,Omega Logistics,TAX-194578,PK,2026-04-26 03:26:39,FALSE,VEND_1626
Zeta Tech Inc   ,"Zeta Tech	",TAX-943442,US,2021-10-13 03:26:39,TRUE,VEND_4483
Omicron Services S.A.,Omicron Services,TAX-226882,PK,2025-02-20 03:26:39,TRUE,CUST_6478
Alpha Services Ltd,Alpha Services,TAX-229221,US,2026-05-16 03:26:39,FALSE,CUST_9108
Upsilon Manufacturing Inc,Upsilon Manufacturing,TAX-645940,US,2023-11-14 03:26:39,FALSE,VEND_7457
Rho Consulting LLC,Rho Consulting,TAX-362778,PK,2022-11-03 03:26:39,FALSE,CUST_3538
Kappa Tech PVT,Kappa Tech,TAX-274739,FR,2023-11-29 03:26:39,FALSE,CUST_2494
Sigma Manufacturing Pakistan,Sigma Manufacturing,TAX-163491,GB,2024-11-07 03:26:39,TRUE,VEND_9280
Kappa Consulting Pakistan,Kappa Consulting,TAX-939717,GB,2022-06-21 03:26:39,FALSE,VEND_3749
Phi Tech PK,Phi Tech,TAX-579027,IN,2024-09-15 03:26:39,TRUE,CUST_8365
Nu Tech LLC,Nu Tech,TAX-877447,PK,2026-01-14 03:26:39,FALSE,CUST_3348
Omicron Manufacturing Pakistan,Omicron Manufacturing,TAX-891937,GB,2022-12-19 03:26:39,FALSE,VEND_1916
Tau Manufacturing LLC,Tau Manufacturing,TAX-641760,AE,2024-04-16 03:26:39,TRUE,VEND_8598
Psi Logistics Pakistan,Psi Logistics,TAX-689593,GB,2023-02-18 03:26:39,FALSE,VEND_8242
Omega Trading Corp,Omega Trading,TAX-871153,PK,2021-07-04 03:26:39,FALSE,CUST_1750
Rho Services LLC,Rho Services,TAX-573962,DE,2025-02-27 03:26:39,TRUE,CUST_8303
Beta Logistics LLC,Beta Logistics,TAX-159645,DE,2022-09-20 03:26:39,TRUE,VEND_4163
Omega Tech LLC,Omega Tech,TAX-551524,DE,2021-10-15 03:26:39,TRUE,VEND_2063
Omicron Manufacturing LLC,Omicron Manufacturing,TAX-289633,IN,2024-05-30 03:26:39,FALSE,VEND_4033
Zeta Services Ltd,Zeta Services,TAX-922974,PK,2021-11-02 03:26:39,TRUE,VEND_8199
Xi Consulting Inc,Xi Consulting,TAX-834861,IN,2024-12-03 03:26:39,TRUE,VEND_1942
Gamma Tech PVT,Gamma Tech,TAX-495490,DE,2023-09-25 03:26:39,TRUE,VEND_1267
Omega Tech Pakistan,Omega Tech,TAX-991401,US,2021-12-09 03:26:39,FALSE,CUST_9543
Omega Trading PK,Omega Trading,TAX-141406,GB,2022-06-09 03:26:39,FALSE,VEND_4770
Zeta Logistics PVT,Zeta Logistics,TAX-519692,GB,2024-11-16 03:26:39,FALSE,CUST_6573
Gamma Distribution Corp,Gamma Distribution,TAX-205907,GB,2024-11-03 03:26:39,FALSE,CUST_6542
Upsilon Distribution PK,Upsilon Distribution,TAX-296243,DE,2024-12-04 03:26:39,TRUE,VEND_4161
Gamma Tech S.A.,Gamma Tech,TAX-710527,GB,2023-05-28 03:26:39,FALSE,VEND_2393
Omicron Tech Corp,Omicron Tech,TAX-997004,AE,2025-11-04 03:26:39,FALSE,VEND_8618
Zeta Manufacturing S.A.   ,Zeta Manufacturing  ,TAX-678478,FR,2024-01-02 03:26:39,TRUE,VEND_6196
"Lambda Manufacturing S.A.	",Lambda Manufacturing  ,TAX-388698,IN,2021-09-27 03:26:39,TRUE,VEND_6705
Iota Logistics Inc,Iota Logistics,TAX-753205,DE,2023-07-09 03:26:39,TRUE,CUST_3580
Gamma Consulting Corp,Gamma Consulting,TAX-129556,AE,2025-11-05 03:26:39,FALSE,VEND_5225
Theta Distribution LLC,Theta Distribution,TAX-397026,DE,2021-06-26 03:26:39,FALSE,VEND_6636
Pi Consulting Inc,Pi Consulting,TAX-903072,GB,2021-12-04 03:26:39,FALSE,VEND_2449
Chi Consulting PK,Chi Consulting,TAX-986486,PK,2021-09-08 03:26:39,TRUE,VEND_5843
Zeta Logistics PK   ,"Zeta Logistics	",TAX-862285,IN,2023-03-29 03:26:39,FALSE,VEND_5738
Rho Manufacturing Inc,Rho Manufacturing,TAX-202093,DE,2022-10-29 03:26:39,FALSE,VEND_6172
Chi Distribution PVT,Chi Distribution,TAX-856086,US,2024-10-14 03:26:39,FALSE,VEND_6083
Rho Tech Pakistan,Rho Tech,TAX-956934,IN,2024-06-19 03:26:39,FALSE,VEND_4110
Delta Logistics Corp,Delta Logistics,TAX-102303,AE,2024-05-29 03:26:39,FALSE,CUST_8350
Pi Trading PVT,Pi Trading,TAX-212157,AE,2022-12-22 03:26:39,TRUE,VEND_3573
Rho Consulting LLC,Rho Consulting,TAX-719371,IN,2024-04-17 03:26:39,TRUE,VEND_8776
Sigma Consulting Pakistan,Sigma Consulting,TAX-966985,IN,2022-07-24 03:26:39,FALSE,CUST_3738
Pi Services Inc,Pi Services,TAX-626214,PK,2023-12-08 03:26:39,TRUE,CUST_2220
Omega Trading Inc,Omega Trading,TAX-373441,DE,2023-02-15 03:26:39,FALSE,VEND_5116
Alpha Consulting PVT,Alpha Consulting,TAX-756944,DE,2021-09-04 03:26:39,TRUE,CUST_5595
Phi Services Corp,Phi Services,TAX-688426,DE,2022-04-11 03:26:39,TRUE,VEND_7476
Upsilon Tech Ltd,Upsilon Tech,TAX-270128,PK,2021-09-27 03:26:39,TRUE,CUST_3498
Beta Manufacturing S.A.,Beta Manufacturing,TAX-381631,AE,2026-04-15 03:26:39,FALSE,VEND_7830
Gamma Tech S.A.,Gamma Tech,TAX-762055,AE,2021-12-08 03:26:39,FALSE,VEND_3354
Xi Distribution LLC,Xi Distribution,TAX-636435,FR,2022-12-08 03:26:39,TRUE,VEND_3756
"Tau Logistics Ltd	","Tau Logistics	",TAX-768169,IN,2024-03-10 03:26:39,TRUE,CUST_9618
Eta Trading PK   ,Eta Trading  ,TAX-390088,DE,2024-08-11 03:26:39,FALSE,CUST_6257
Gamma Logistics S.A.,Gamma Logistics,TAX-764873,AE,2025-12-03 03:26:39,FALSE,CUST_3024
Iota Tech PK,Iota Tech,TAX-308376,AE,2026-02-09 03:26:39,TRUE,CUST_9253
"Phi Trading S.A.	",Phi Trading  ,TAX-262934,FR,2023-10-26 03:26:39,FALSE,VEND_1582
Nu Manufacturing S.A.,Nu Manufacturing,TAX-505426,AE,2025-05-09 03:26:39,FALSE,VEND_1959
Epsilon Tech Ltd,Epsilon Tech,TAX-772741,FR,2025-08-07 03:26:39,TRUE,CUST_5919
Pi Distribution Ltd,Pi Distribution,TAX-373342,PK,2022-07-19 03:26:39,FALSE,VEND_8397
"Epsilon Logistics Inc
","Epsilon Logistics	",TAX-356736,GB,2022-12-22 03:26:39,TRUE,CUST_2373
Mu Tech LLC,Mu Tech,TAX-397005,FR,2022-08-06 03:26:39,FALSE,VEND_1439
Tau Trading S.A.,Tau Trading,TAX-413369,US,2024-03-09 03:26:39,TRUE,CUST_7600
Kappa Tech Inc,Kappa Tech,TAX-194423,GB,2023-07-26 03:26:39,FALSE,VEND_3376
Psi Trading S.A.,Psi Trading,TAX-207570,IN,2026-05-01 03:26:39,FALSE,CUST_1149
"Lambda Trading Inc	","Lambda Trading	",TAX-880900,DE,2023-06-25 03:26:39,TRUE,VEND_9691
Theta Manufacturing Corp,Theta Manufacturing,TAX-810614,PK,2024-11-21 03:26:39,FALSE,CUST_9767
Epsilon Distribution Inc,Epsilon Distribution,TAX-799396,DE,2021-09-13 03:26:39,FALSE,VEND_1601
Sigma Services Corp,Sigma Services,TAX-700521,DE,2025-07-24 03:26:39,TRUE,VEND_1635
Delta Logistics S.A.,Delta Logistics,TAX-675074,US,2026-04-03 03:26:39,FALSE,CUST_4450
Pi Tech Pakistan,Pi Tech,TAX-158132,GB,2021-08-01 03:26:39,TRUE,VEND_5959
Epsilon Tech Corp,Epsilon Tech,TAX-729232,PK,2021-10-12 03:26:39,FALSE,VEND_7259
Rho Manufacturing PK,Rho Manufacturing,TAX-464032,GB,2023-05-17 03:26:39,TRUE,VEND_5389
Theta Distribution Ltd,Theta Distribution,TAX-952993,AE,2023-02-28 03:26:39,FALSE,VEND_9379
Gamma Trading Corp,Gamma Trading,TAX-602681,PK,2021-07-11 03:26:39,FALSE,CUST_6268
Chi Distribution LLC,Chi Distribution,TAX-854717,AE,2023-07-23 03:26:39,FALSE,CUST_1244
Rho Distribution LLC,Rho Distribution,TAX-208976,AE,2022-12-08 03:26:39,TRUE,CUST_5906
Kappa Logistics Corp,Kappa Logistics,TAX-402099,FR,2024-10-24 03:26:39,FALSE,VEND_2188
Mu Trading PK,Mu Trading,TAX-910894,US,2023-03-08 03:26:39,TRUE,CUST_4860
"Kappa Consulting S.A.
","Kappa Consulting	",TAX-863187,DE,2023-01-21 03:26:39,FALSE,CUST_4867
Sigma Manufacturing PVT,Sigma Manufacturing,TAX-882351,US,2022-02-07 03:26:39,FALSE,CUST_3931
Chi Logistics Pakistan,Chi Logistics,TAX-918011,DE,2021-06-30 03:26:39,FALSE,VEND_3426
Gamma Logistics Ltd,Gamma Logistics,TAX-931131,AE,2023-01-24 03:26:39,FALSE,VEND_5097
Omicron Tech Ltd,Omicron Tech,TAX-623059,US,2023-06-05 03:26:39,TRUE,CUST_9759
Beta Manufacturing LLC,Beta Manufacturing,TAX-588002,AE,2025-07-03 03:26:39,FALSE,CUST_5099
